Negative_words,Frequency
,224
reasonable,5
inform,5
4s,60
status,6
disgusting,3
antenna,8
hoursi,3
believing,1
brick,2
try,28
explaination,1
pleased,2
caharger,1
windows,2
horribleeee,1
toggle,1
electronics,5
verizion,1
wrapping,3
bussiness,1
upall,3
folks,1
latin,3
st,4
haven't,17
game,5
satisfaction,1
recently,5
trayi,1
storewhen,1
added,6
mutumbo,1
physical,8
screw,4
material,1
i-anythingi,1
nose,1
effort,4
ya,2
luego,1
week,56
behavior,1
ranging,1
issue,15
garantia,1
minutes，charging,1
observed,2
things,30
shoddy,3
reception,15
f'n,1
saved,5
youtube,1
owning,3
sorrybut,2
14,5
faintly,1
couldnt,5
chat,1
greatit,1
simple,7
trouble,38
slow2,1
unfortunate,5
battery's,2
gs,1
myselfwish,1
intese,1
anyway,10
operating,2
1440,1
favour,1
100-0,1
dayle,1
1037,1
issuesi,1
microsim,3
40-50%,3
12%,1
sellerso,2
that's,16
010,1
hand,7
also,126
threadbare,1
smelling,1
answered,2
sitting,2
clear,13
timedate,2
thatdue,1
finally,25
expected,115
goodnice,1
ripped,3
percentage,4
surprises,2
broken,95
sub,3
verzion,1
swipe,4
reviews,42
alimentación,2
advise,1
restarted,3
huge,4
rendered,1
introduction,1
including,4
unusablewill,1
attitude,1
circuitry,2
texts,23
metaphorically,1
sounded,6
wasome,1
screws,7
similari'm,1
justify,2
play,17
beautiful,1
help,32
tooand,1
hear,58
whaiting,1
streamed,1
anymore,17
failing,7
guess,18
ithowever,2
woman,2
phonebut,1
reverse,2
invalid,1
sooner,5
internet,33
applestore,1
plans,3
drops,5
side,22
dejo,1
mms,2
match,13
lock,22
activation,10
nelson,1
duplicate,6
advertised,43
completly,1
1095,1
communications,1
protect,1
virgin,1
sits,6
refurbishedand,2
50%,1
horrendous,2
refurbishedit,1
proove,1
dad,3
micro-sd,1
bulls,2
started,51
3-4,2
flowers,2
concise,3
story,4
notice,10
die,18
turns,15
always,21
unsolvedsorry,1
philippines,2
want,78
write,11
describedalthough,1
phoneall,2
guaranteed,2
connectedthe,1
thread,1
desperately,5
mother,2
chocolate,1
emailed,5
purchased,69
minutes,31
icon,6
nokiacom,1
scratdhed,1
sealed,8
reopen,2
previous,20
thisas,1
tabzaniaand,4
hue,1
allow,6
read,25
hurt,4
pieces,1
dem,3
offs,1
iphonei,1
malfunctions,3
3,75
mattersbased,1
80,6
spent,38
dim,1
eye,2
short,9
disappointing,36
method,5
medmedia246,1
lacked,1
nightmare,2
future,1
brown,2
8,14
opening,3
ask,4
specific,1
goodit's,4
locks,2
virtually,1
he's,4
whose,1
quit,5
prime,5
5-7,3
ownersi,2
usa,10
late,81
battling,1
understandable,1
wife's,3
reports,1
hopes,3
reaction,2
refurb,2
pocket,17
cleaning,1
questions,3
overheatsi,1
card,107
put,41
"""upgrade""",1
usedeven,3
handsi,1
department,2
apps,59
2015by,1
agent,1
30sec-1min,2
battery,424
show,1
piece,27
bluetooth,14
wants,3
thrice,2
clearly,11
print,1
bday,4
furter,1
unlocked-,2
nor,16
used-good,1
multiple,17
offandroid,1
considereing,1
against,3
control,3
eg,1
copy,1
inconvinience,1
terriblei,1
upset,14
unreliable,3
destroyed,1
speakershad,1
reheated,4
motorola,1
phone,1978
model,11
fi,4
video,13
playlist,1
earbuds,3
paperwork,1
argue,1
let's,1
son,36
proffesionale,2
imei,19
slight,4
complained,4
portion,2
customer,41
deivis,1
refuses,2
snaps,4
lollipop,4
green,4
helping,4
ear,13
personal,3
decent,11
disappointed,223
3weeks,1
vehicle,1
legitimatethe,2
reviewshowever,1
quote,2
resonable,2
like,199
thing,48
might've,1
tired,8
throws,1
2013,8
brittle,1
10,14
$23000,1
stuttering,1
spoken,1
surfing,1
linked,1
whack,2
2014,6
troubleshooting,1
wi-fi,10
smart,8
unfortunately,21
hone,3
asks,1
describe,1
"opened""",2
hace,1
mysteriously,1
someone,37
30what,1
shutter,1
yearned,1
hangingseems,4
rolling,1
head,4
no-brainer,1
thisthis,3
service,71
bane,1
antes,1
therefore,9
mexico,2
unblock,3
messages,18
"ever""",1
addition,5
changes,2
remain,2
concerned,5
paperclip,2
police,2
fatlet,1
bribe,2
i'd,17
knowledge,1
claimed,5
berunnin,1
ago,31
prevent,3
tremendously,1
ota,1
hey,2
credited,2
mom's,1
rocks,1
determined,4
prpaid,3
used,115
sprintand,1
begged,1
fingers,1
china,10
buyers,1
stupid,11
thinking,14
takes,7
itstarting,2
temporary,1
perhaps,5
likes,3
67,1
wound,2
informa,1
evident,2
beware,12
business,13
authorize,1
chip,3
media,5
worht,1
stress,1
problems,55
boots,1
20,10
early,9
ss,2
unlocking,15
facts,2
experience,28
datos,2
employees,1
0,8
downgrade,1
truly,4
fo,1
specs,1
loved,3
blocked,8
slipping,1
today,22
burn,1
practically,4
bank,1
cords,2
stick,3
countless,3
usb,12
smashed,1
desperate,4
wireless,15
ringtones,2
$35,1
4,88
choices,2
college,1
dishonesty,1
responsibility,1
whatever>,1
selected,1
ad,7
waist,2
charger,125
excuse,3
kinks,1
north,1
sales,2
"""brand",4
minimum,3
bag,2
february,4
radiated,2
herevery,1
external,2
re-sellers,1
complaint,15
bussness,1
though,45
entire,6
glad,1
alsomuch,2
remains,2
design,4
sister,3
annoying,19
assembled,2
9,9
bear,1
betry,3
hot,7
"""the",1
beginner,1
vietnam,1
upgraded,1
close,11
fairly,2
car,6
moneyshows,1
arriving,2
advertisement,9
weight,1
worn,13
value,8
jumping,1
"""restocking",2
previously,4
turbo,2
waste,114
iphonethat's,1
gear,1
unscrupulous,2
phonesthere,1
ringtone,3
comando,1
constant,5
reviewers,1
reliable,7
quite,12
blows,2
listening,6
160,1
refurbished,90
exits,1
originanl,2
sides,7
gona,3
buyer,6
applicable,1
disengaged,1
jail,4
all-in-all,2
calling,18
suministro,2
closes,2
scared,2
el,9
changing,11
47,3
we'll,2
kinda,4
hrthe,1
small,26
note,5
loudes,1
reviewyou,1
que,13
disguised,1
dealt,2
idea,4
10gbs,1
level,1
dream,1
blazing,1
"herpes""",1
beaten,5
afford,7
cardsim,1
shows,8
marring,3
processor,1
busyness,2
buying,53
filed,3
's,1
"""refurbished""",15
recognize,10
ringer,2
weeks,70
tape,1
results,1
belief,1
contacted,21
android,23
according,5
minecraft,1
30%the,2
brings,2
nowi,3
pound,2
broke,35
opted,1
shouldn't,2
81%,1
downloaded,6
friend,12
start,18
recalled,2
repeat,1
advice,1
4reviewer,1
regarding,1
absolute,5
resolve,1
labeli,2
white,31
waisted,1
suspicions,1
vermont,1
11th,1
$190,5
shown,4
showed,6
knob,1
attempt,2
locate,1
currency,2
electricaly,1
negated,1
att,8
uninspired,1
publicaron,1
necessarily,1
anything,55
7hr,1
promise,3
disappointment,15
helloi,1
approximately,2
mystery,1
slowly,13
tweaked,1
reparado,1
fully,17
throughconclusion,1
25th,1
newbattery,1
life--3,1
bastante,1
ontime,1
batteryit,1
defect,5
soldered,1
eat,1
menu,3
jam,2
settings,12
saler,1
apples,5
blurred3,2
chosen,1
trailed,2
stripes,1
running,14
e-mail,6
position,2
phonekmd,1
maintained,2
situationand,2
recognized,3
turnt,1
mistake,19
timeframe,1
spend,18
fair--all,1
"""black",1
hoping,3
distant,1
flickering,1
freezes,15
guarantee,4
incorrect,3
kolloffel,1
disabled,1
password,8
removed,2
refurbixhed,2
love,13
users,4
pressed,4
dident,2
associate,1
didint,1
holds,5
\,1
aftter,1
dual,5
worksalthough,1
no,276
splashes,1
refund,57
stutters,1
problemthe,1
definitely,25
middle,13
active,5
learns,1
misliding,1
disgusted,3
5m41,1
2010,3
rescent,1
lighti,1
ram,2
office,2
damp,2
case-,2
memory,10
wireoviai,2
nope,1
towards,1
snapfoncons,1
wanna,3
suffers,1
multitask,1
offnot,1
playerbackground,1
luck,6
29,2
bs,4
letting,2
miserably,1
2nd,2
inoperable,1
case,33
supporting,2
cricket,2
>30,1
avant,2
showing,1
thinks,1
real,10
faired,1
high,15
wished,3
lesson,2
monument,1
faulty,11
hit,11
alarmwhen,1
ridiculous,1
monday,3
"""invalid",2
move,2
qualified,4
